"phi_0","gradPhi_0","gradPhi_1","Points:0","Points:1","Points:2"
-2.538,0.00015198,-3.2149e-07,-1,0,0
0,2.5957,5.6919e-06,0,1,0
-3.1795,1,-1.4206e-05,-2,0,0
-2.8356,1,-9.9384e-06,-2,2,0
0,1.7765,4.508e-07,0,2,0
-2.526,0.024163,0.24424,-0.99519,0.098017,0
-2.4899,0.09518,0.47844,-0.98079,0.19509,0
-2.4304,0.21009,0.69338,-0.95694,0.29028,0
-2.3479,0.36498,0.88101,-0.92388,0.38268,0
-2.2434,0.55313,1.0347,-0.88192,0.4714,0
-2.1179,0.7682,1.1496,-0.83147,0.55557,0
-1.9723,1.0029,1.222,-0.77301,0.63439,0
-1.8079,1.2497,1.2495,-0.70711,0.70711,0
-1.6258,1.5,1.2307,-0.63439,0.77301,0
-1.4274,1.7451,1.166,-0.55557,0.83147,0
-1.2142,1.9758,1.056,-0.4714,0.88192,0
-0.98813,2.1825,0.90388,-0.38268,0.92388,0
-0.75115,2.3555,0.71435,-0.29028,0.95694,0
-0.50566,2.4863,0.49438,-0.19509,0.98079,0
-0.25433,2.5679,0.25277,-0.098017,0.99519,0
-2.5367,0.0027892,0.081901,-0.99946,0.032719,0
-2.5326,0.010879,0.16341,-0.99786,0.065403,0
-2.5166,0.042703,0.32388,-0.99145,0.13053,0
-2.5046,0.066417,0.40205,-0.98664,0.16289,0
-2.4727,0.12879,0.55269,-0.97388,0.22708,0
-2.4528,0.16719,0.62443,-0.96593,0.25882,0
-2.4054,0.25776,0.75934,-0.94693,0.32144,0
-2.3779,0.30933,0.82191,-0.93591,0.35225,0
-2.3155,0.42423,0.93626,-0.91086,0.41271,0
-2.2806,0.48708,0.98759,-0.89687,0.44229,0
-2.2039,0.62217,1.0775,-0.86602,0.5,0
-2.162,0.69394,1.1159,-0.8492,0.52807,0
-2.0715,0.84468,1.1786,-0.81285,0.58248,0
-2.023,0.92299,1.2027,-0.79335,0.60876,0
-1.9195,1.0843,1.2362,-0.75184,0.65935,0
-1.8647,1.1666,1.2454,-0.72986,0.68359,0
-1.7491,1.3331,1.2484,-0.68359,0.72986,0
-1.6883,1.4167,1.2422,-0.65935,0.75184,0
-1.5614,1.5827,1.2143,-0.60876,0.79335,0
-1.4952,1.6646,1.1927,-0.58248,0.81285,0
-1.3579,1.8241,1.1342,-0.52807,0.8492,0
-1.2868,1.9011,1.0975,-0.5,0.86602,0
-1.1402,2.0479,1.0098,-0.44229,0.89687,0
-1.0648,2.1168,0.959,-0.41271,0.91086,0
-0.91023,2.2443,0.84451,-0.35225,0.93591,0
-0.83121,2.3021,0.78124,-0.32144,0.94693,0
-0.67014,2.4042,0.64407,-0.25882,0.96593,0
-0.58828,2.4479,0.57058,-0.22708,0.97388,0
-0.4224,2.5193,0.41579,-0.16289,0.98664,0
-0.33858,2.5466,0.33517,-0.13053,0.99145,0
-0.16974,2.5833,0.16925,-0.065403,0.99786,0
-0.084924,2.5926,0.084825,-0.032719,0.99946,0
-3.0821,0.94934,-1.1254e-05,-1.9,0,0
-2.9897,0.89669,-8.4986e-06,-1.8,0,0
-2.9029,0.83995,-1.3904e-05,-1.7,0,0
-2.822,0.77669,-1.0503e-05,-1.6,0,0
-2.7478,0.70393,-1.4836e-05,-1.5,0,0
-2.6816,0.61783,-1.9374e-07,-1.4,0,0
-2.6249,0.51337,-2.7296e-05,-1.3,0,0
-2.5798,0.38334,-5.3889e-05,-1.2,0,0
-2.5494,0.21742,-9.9236e-05,-1.1,0,0
-3.1465,0.98322,-1.0589e-05,-1.9667,0,0
-3.114,0.96634,-1.153e-05,-1.9333,0,0
-3.0507,0.93211,-5.6306e-06,-1.8667,0,0
-3.0199,0.91458,-7.331e-06,-1.8333,0,0
-2.9602,0.87834,-1.0057e-05,-1.7667,0,0
-2.9312,0.85946,-9.6731e-06,-1.7333,0,0
-2.8752,0.81973,-7.8985e-06,-1.6667,0,0
-2.8482,0.79866,-9.6898e-06,-1.6333,0,0
-2.7965,0.75366,-1.2159e-05,-1.5667,0,0
-2.7717,0.72944,-1.0484e-05,-1.5333,0,0
-2.7248,0.67694,-5.5904e-07,-1.4667,0,0
-2.7027,0.6483,3.249e-06,-1.4333,0,0
-2.6616,0.58539,-3.481e-05,-1.3667,0,0
-2.6426,0.55062,-2.726e-05,-1.3333,0,0
-2.6084,0.47332,-3.7938e-05,-1.2667,0,0
-2.5934,0.43007,-4.1213e-05,-1.2333,0,0
-2.5679,0.33272,-6.1996e-05,-1.1667,0,0
-2.5577,0.27755,-7.2926e-05,-1.1333,0,0
-2.5432,0.15176,-7.0788e-05,-1.0667,0,0
-2.5394,0.079448,-4.872e-05,-1.0333,0,0
-2.8374,1,0.03568,-2,1.9,0
-2.8427,1,0.070899,-2,1.8,0
-2.8516,1,0.10515,-2,1.7,0
-2.8637,1,0.13793,-2,1.6,0
-2.8791,1,0.16866,-2,1.5,0
-2.8974,1,0.19673,-2,1.4,0
-2.9183,1,0.22146,-2,1.3,0
-2.9415,1,0.24211,-2,1.2,0
-2.9666,1,0.25794,-2,1.1,0
-2.9929,1,0.26816,-2,1,0
-3.02,1,0.27206,-2,0.9,0
-3.0471,1,0.26902,-2,0.8,0
-3.0735,1,0.25855,-2,0.7,0
-3.0986,0.99999,0.24043,-2,0.6,0
-3.1214,1,0.21472,-2,0.5,0
-3.1413,1,0.18183,-2,0.4,0
-3.1575,1,0.14257,-2,0.3,0
-3.1696,0.99999,0.098135,-2,0.2,0
-3.177,1,0.050027,-2,0.1,0
-2.8358,1,0.011919,-2,1.9667,0
-2.8364,1,0.023815,-2,1.9333,0
-2.8388,1,0.047497,-2,1.8667,0
-2.8406,1,0.059242,-2,1.8333,0
-2.8453,1,0.082448,-2,1.7667,0
-2.8482,1,0.093872,-2,1.7333,0
-2.8552,1,0.11627,-2,1.6667,0
-2.8593,1,0.1272,-2,1.6333,0
-2.8685,0.99999,0.14843,-2,1.5667,0
-2.8736,1,0.15868,-2,1.5333,0
-2.8849,1,0.17835,-2,1.4667,0
-2.891,1,0.18771,-2,1.4333,0
-2.9041,1,0.20538,-2,1.3667,0
-2.9111,1,0.21362,-2,1.3333,0
-2.9258,0.99999,0.22883,-2,1.2667,0
-2.9336,1,0.23572,-2,1.2333,0
-2.9497,1,0.24796,-2,1.1667,0
-2.958,1,0.25324,-2,1.1333,0
-2.9752,1,0.26199,-2,1.0667,0
-2.984,1,0.2654,-2,1.0333,0
-3.0019,1,0.27019,-2,0.96667,0
-3.0109,1,0.2715,-2,0.93333,0
-3.0291,1,0.27184,-2,0.86667,0
-3.0381,1,0.27083,-2,0.83333,0
-3.056,1,0.26637,-2,0.76667,0
